,Title,URL,Date,Location,Image URL
29,Python Internship in Chandigarh,https://chandigarh.craigslist.org/cps/d/python-internship-in-chandigarh/7080108803.html,Feb 22,N/A,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flistonline.com.au%2Fwp-content%2Fuploads%2F2018%2F04%2Fno_image_ava.png&f=1&nofb=1
30,software development company in chandigarh,https://chandigarh.craigslist.org/lss/d/software-development-company-in/7091286203.html,Mar 11,N/A,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flistonline.com.au%2Fwp-content%2Fuploads%2F2018%2F04%2Fno_image_ava.png&f=1&nofb=1
31,HIRE DJANGO WEB DEVELOPERS,https://chandigarh.craigslist.org/cps/d/hire-django-web-developers/7089981003.html,Mar  9,N/A,https://images.craigslist.org/00D0D_jcbhTkz4bRu_600x450.jpg
32,software development service in zirakpur,https://chandigarh.craigslist.org/cps/d/software-development-service-in-zirakpur/7081974754.html,Feb 25,N/A,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flistonline.com.au%2Fwp-content%2Fuploads%2F2018%2F04%2Fno_image_ava.png&f=1&nofb=1
33,software development service in zirakpur,https://chandigarh.craigslist.org/lss/d/software-development-service-in-zirakpur/7078819268.html,Feb 20,N/A,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flistonline.com.au%2Fwp-content%2Fuploads%2F2018%2F04%2Fno_image_ava.png&f=1&nofb=1
34,python training institute in chandigarh,https://chandigarh.craigslist.org/lss/d/python-training-institute-in-chandigarh/7068063842.html,Feb  3,N/A,https://images.craigslist.org/00U0U_aiM9XBOhA8l_600x450.jpg
35,6 months/weeks Industrial Training on Python in Punjab,https://chandigarh.craigslist.org/lss/d/6-months-weeks-industrial-training-on/7066339746.html,Jan 31,N/A,https://images.craigslist.org/00x0x_5Ea8UPIZqbP_600x450.jpg
36,summer training 2020 india,https://chandigarh.craigslist.org/cps/d/summer-training-2020-india/7069387173.html,Feb  5,N/A,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flistonline.com.au%2Fwp-content%2Fuploads%2F2018%2F04%2Fno_image_ava.png&f=1&nofb=1
37,best php training institute in chandigarh,https://chandigarh.craigslist.org/lss/d/best-php-training-institute-in/7069367021.html,Feb  5,N/A,https://images.craigslist.org/00g0g_hBaFEtdCZPI_600x450.jpg
38,python training institute in chandigarh,https://chandigarh.craigslist.org/lss/d/python-training-institute-in-chandigarh/7063795303.html,Jan 27,N/A,https://images.craigslist.org/00U0U_aiM9XBOhA8l_600x450.jpg
39,data science training institute in chandigarh,https://chandigarh.craigslist.org/lss/d/data-science-training-institute-in/7063795695.html,Jan 27,N/A,https://images.craigslist.org/00U0U_aiM9XBOhA8l_600x450.jpg
